cluster_id,age_band,cluster_prop,overall_prop,difference
W077|BA.1|R0.3|C10,65-69,0.03167898627243928,0.029372891573031603,0.0023060946994076757
W077|BA.1|R0.3|C10,45-49,0.059134107708553325,0.06799758876454136,-0.008863481055988033
W077|BA.1|R0.3|C10,20-24,0.12917986624428018,0.0868394219524767,0.04234044429180349
W077|BA.1|R0.3|C10,25-29,0.11510031678986272,0.08724254258039636,0.027857774209466363
W077|BA.1|R0.3|C10,15-19,0.06898979232664555,0.0680949367799523,0.0008948555466932462
W077|BA.1|R0.3|C10,05-09,0.020767335445265753,0.0543002237756303,-0.033532888330364545
W077|BA.1|R0.3|C10,35-39,0.07884547694473777,0.08474519156966187,-0.005899714624924099
W077|BA.1|R0.3|C10,30-34,0.09679690249912003,0.08833084347063147,0.008466059028488557
W077|BA.1|R0.3|C10,10-14,0.03414290742696234,0.06753206556264033,-0.033389158135677985
W077|BA.1|R0.3|C10,55-59,0.06793382611756424,0.06448931605530865,0.0034445100622555874
W077|BA.1|R0.3|C10,40-44,0.07004575853572685,0.07837014461172495,-0.0083243860759981
W077|BA.1|R0.3|C10,60-64,0.054206265399507216,0.048889920611445384,0.005316344788061832
W077|BA.1|R0.3|C10,50-54,0.07497360084477296,0.07097294349197315,0.004000657352799808
W077|BA.1|R0.3|C10,70-74,0.028159098908834918,0.023960092305887432,0.004199006602947485
W077|BA.1|R0.3|C10,00-04,0.021119324181626188,0.021452756883315924,-0.00033343270168973566
W077|BA.1|R0.3|C10,75+,0.04892643435410067,0.05740912001138223,-0.00848268565728156
W048|AY.4|R0.3|C1,65-69,0.0044,0.029372891573031603,-0.024972891573031602
W048|AY.4|R0.3|C1,45-49,0.0528,0.06799758876454136,-0.015197588764541359
W048|AY.4|R0.3|C1,20-24,0.1888,0.0868394219524767,0.1019605780475233
W048|AY.4|R0.3|C1,25-29,0.1196,0.08724254258039636,0.032357457419603636
W048|AY.4|R0.3|C1,15-19,0.1068,0.0680949367799523,0.0387050632200477
W048|AY.4|R0.3|C1,05-09,0.066,0.0543002237756303,0.011699776224369705
W048|AY.4|R0.3|C1,35-39,0.0792,0.08474519156966187,-0.005545191569661864
W048|AY.4|R0.3|C1,30-34,0.0916,0.08833084347063147,0.0032691565293685304
W048|AY.4|R0.3|C1,10-14,0.0748,0.06753206556264033,0.00726793443735968
W048|AY.4|R0.3|C1,55-59,0.0416,0.06448931605530865,-0.022889316055308653
W048|AY.4|R0.3|C1,40-44,0.0512,0.07837014461172495,-0.02717014461172495
W048|AY.4|R0.3|C1,60-64,0.026,0.048889920611445384,-0.022889920611445385
W048|AY.4|R0.3|C1,50-54,0.052,0.07097294349197315,-0.018972943491973156
W048|AY.4|R0.3|C1,70-74,0.0072,0.023960092305887432,-0.01676009230588743
W048|AY.4|R0.3|C1,00-04,0.0288,0.021452756883315924,0.007347243116684075
W048|AY.4|R0.3|C1,75+,0.0092,0.05740912001138223,-0.04820912001138223
W078|BA.1|R0.3|C1,65-69,0.030932594644506,0.029372891573031603,0.0015597030714743984
W078|BA.1|R0.3|C1,45-49,0.060480147737765465,0.06799758876454136,-0.007517441026775894
W078|BA.1|R0.3|C1,20-24,0.1329639889196676,0.0868394219524767,0.0461245669671909
W078|BA.1|R0.3|C1,25-29,0.12003693444136658,0.08724254258039636,0.03279439186097022
W078|BA.1|R0.3|C1,15-19,0.07156048014773776,0.0680949367799523,0.0034655433677854564
W078|BA.1|R0.3|C1,05-09,0.02169898430286242,0.0543002237756303,-0.03260123947276788
W078|BA.1|R0.3|C1,35-39,0.0729455216989843,0.08474519156966187,-0.01179966987067757
W078|BA.1|R0.3|C1,30-34,0.10064635272391505,0.08833084347063147,0.012315509253283577
W078|BA.1|R0.3|C1,10-14,0.03508771929824561,0.06753206556264033,-0.03244434626439471
W078|BA.1|R0.3|C1,55-59,0.06509695290858726,0.06448931605530865,0.0006076368532786092
W078|BA.1|R0.3|C1,40-44,0.07109879963065559,0.07837014461172495,-0.007271344981069364
W078|BA.1|R0.3|C1,60-64,0.05216989843028624,0.048889920611445384,0.0032799778188408596
W078|BA.1|R0.3|C1,50-54,0.07386888273314866,0.07097294349197315,0.0028959392411755103
W078|BA.1|R0.3|C1,70-74,0.024469067405355493,0.023960092305887432,0.0005089750994680606
W078|BA.1|R0.3|C1,00-04,0.02077562326869806,0.021452756883315924,-0.0006771336146178634
W078|BA.1|R0.3|C1,75+,0.046168051708217916,0.05740912001138223,-0.011241068303164313
W041|B.1.1.7|R0.3|C140,65-69,0.0,0.029372891573031603,-0.029372891573031603
W041|B.1.1.7|R0.3|C140,45-49,0.05263157894736842,0.06799758876454136,-0.01536600981717294
W041|B.1.1.7|R0.3|C140,20-24,0.0,0.0868394219524767,-0.0868394219524767
W041|B.1.1.7|R0.3|C140,25-29,0.07894736842105263,0.08724254258039636,-0.008295174159343735
W041|B.1.1.7|R0.3|C140,15-19,0.0,0.0680949367799523,-0.0680949367799523
W041|B.1.1.7|R0.3|C140,05-09,0.21052631578947367,0.0543002237756303,0.15622609201384338
W041|B.1.1.7|R0.3|C140,35-39,0.21052631578947367,0.08474519156966187,0.1257811242198118
W041|B.1.1.7|R0.3|C140,30-34,0.2631578947368421,0.08833084347063147,0.17482705126621062
W041|B.1.1.7|R0.3|C140,10-14,0.02631578947368421,0.06753206556264033,-0.041216276088956116
W041|B.1.1.7|R0.3|C140,55-59,0.0,0.06448931605530865,-0.06448931605530865
W041|B.1.1.7|R0.3|C140,40-44,0.05263157894736842,0.07837014461172495,-0.025738565664356533
W041|B.1.1.7|R0.3|C140,60-64,0.02631578947368421,0.048889920611445384,-0.022574131137761175
W041|B.1.1.7|R0.3|C140,50-54,0.0,0.07097294349197315,-0.07097294349197315
W041|B.1.1.7|R0.3|C140,70-74,0.0,0.023960092305887432,-0.023960092305887432
W041|B.1.1.7|R0.3|C140,00-04,0.07894736842105263,0.021452756883315924,0.0574946115377367
W041|B.1.1.7|R0.3|C140,75+,0.0,0.05740912001138223,-0.05740912001138223
W042|B.1.1.7|R0.3|C34,65-69,0.0,0.029372891573031603,-0.029372891573031603
W042|B.1.1.7|R0.3|C34,45-49,0.05263157894736842,0.06799758876454136,-0.01536600981717294
W042|B.1.1.7|R0.3|C34,20-24,0.0,0.0868394219524767,-0.0868394219524767
W042|B.1.1.7|R0.3|C34,25-29,0.07894736842105263,0.08724254258039636,-0.008295174159343735
W042|B.1.1.7|R0.3|C34,15-19,0.0,0.0680949367799523,-0.0680949367799523
W042|B.1.1.7|R0.3|C34,05-09,0.21052631578947367,0.0543002237756303,0.15622609201384338
W042|B.1.1.7|R0.3|C34,35-39,0.21052631578947367,0.08474519156966187,0.1257811242198118
W042|B.1.1.7|R0.3|C34,30-34,0.2631578947368421,0.08833084347063147,0.17482705126621062
W042|B.1.1.7|R0.3|C34,10-14,0.02631578947368421,0.06753206556264033,-0.041216276088956116
W042|B.1.1.7|R0.3|C34,55-59,0.0,0.06448931605530865,-0.06448931605530865
W042|B.1.1.7|R0.3|C34,40-44,0.05263157894736842,0.07837014461172495,-0.025738565664356533
W042|B.1.1.7|R0.3|C34,60-64,0.02631578947368421,0.048889920611445384,-0.022574131137761175
W042|B.1.1.7|R0.3|C34,50-54,0.0,0.07097294349197315,-0.07097294349197315
W042|B.1.1.7|R0.3|C34,70-74,0.0,0.023960092305887432,-0.023960092305887432
W042|B.1.1.7|R0.3|C34,00-04,0.07894736842105263,0.021452756883315924,0.0574946115377367
W042|B.1.1.7|R0.3|C34,75+,0.0,0.05740912001138223,-0.05740912001138223
W039|B.1.1.7|R0.3|C1,65-69,0.0,0.029372891573031603,-0.029372891573031603
W039|B.1.1.7|R0.3|C1,45-49,0.06818181818181818,0.06799758876454136,0.0001842294172768183
W039|B.1.1.7|R0.3|C1,20-24,0.045454545454545456,0.0868394219524767,-0.04138487649793124
W039|B.1.1.7|R0.3|C1,25-29,0.022727272727272728,0.08724254258039636,-0.06451526985312364
