epoch,simd_quintile,n_clusters,n_sequences,median,q1,q3,mean,variances,vrm,stddev,min,max,kw_pvalue,n_epoch
Pre-VOC,1,1544,9547,2.0,1.0,4.0,6.183290155440415,295.00202648057666,47.70955576474393,17.17562303034672,1,207,7.763626660329884e-22,5043
Pre-VOC,2,1012,4079,1.0,1.0,3.0,4.030632411067193,82.2885873470918,20.415800538185074,9.071305713462191,1,97,7.763626660329884e-22,5043
Pre-VOC,3,812,2179,1.0,1.0,2.0,2.6834975369458127,22.228643924870777,8.283459782925688,4.714726283133601,1,57,7.763626660329884e-22,5043
Pre-VOC,4,806,2512,1.0,1.0,2.0,3.1166253101736974,36.904512680947484,11.841177237597003,6.0749084504169675,1,61,7.763626660329884e-22,5043
Pre-VOC,5,869,5009,1.0,1.0,3.0,5.76409666283084,389.2596545637288,67.53177077577966,19.72966432972768,1,256,7.763626660329884e-22,5043
Alpha,1,4063,34972,2.0,1.0,7.0,8.607432931331529,442.1636366048422,51.36997756849691,21.027687381280003,1,309,8.073494617472921e-84,11725
Alpha,2,2593,15166,2.0,1.0,5.0,5.848823756266873,136.48620860488106,23.335667869738664,11.682731213414142,1,181,8.073494617472921e-84,11725
Alpha,3,1911,8030,1.0,1.0,4.0,4.201988487702773,106.79855177590093,25.41619333047904,10.334338477904666,1,219,8.073494617472921e-84,11725
Alpha,4,1685,6258,1.0,1.0,3.0,3.713946587537092,52.92232774788894,14.249620047170481,7.274773381205008,1,160,8.073494617472921e-84,11725
Alpha,5,1473,7155,1.0,1.0,3.0,4.857433808553972,171.33880590617537,35.27352356391283,13.089644987782341,1,173,8.073494617472921e-84,11725
Delta,1,17418,96614,2.0,1.0,4.0,5.546790676311861,1594.535214467723,287.46987357524586,39.93163175313179,1,2500,4.0818880595701345e-252,67370
Delta,2,14357,59031,1.0,1.0,3.0,4.111652852267187,337.65772936392113,82.12213956188809,18.375465418974322,1,1166,4.0818880595701345e-252,67370
Delta,3,11778,37403,1.0,1.0,3.0,3.17566649685855,41.37404873645777,13.028461514263553,6.432266220894295,1,119,4.0818880595701345e-252,67370
Delta,4,12487,44598,1.0,1.0,3.0,3.571554416593257,143.09536446935005,40.06529028496287,11.962247467317756,1,696,4.0818880595701345e-252,67370
Delta,5,11330,47203,1.0,1.0,3.0,4.166195939982348,319.9205695538406,76.78961195358376,17.88632353374613,1,798,4.0818880595701345e-252,67370
Omicron BA.1,1,6760,61456,2.0,1.0,3.0,9.091124260355029,7428.709151990476,817.1386661588067,86.18995969363529,1,2841,3.302100722666514e-123,26070
Omicron BA.1,2,5597,25960,1.0,1.0,2.0,4.638199035197427,1388.6636328472885,299.3971630603341,37.26477737552297,1,1272,3.302100722666514e-123,26070
Omicron BA.1,3,4483,12403,1.0,1.0,2.0,2.7666741021637296,101.72427863280464,36.767712739729355,10.085845459494442,1,381,3.302100722666514e-123,26070
Omicron BA.1,4,4691,18597,1.0,1.0,2.0,3.964399914730335,714.1481677223961,180.14029439080284,26.723550806777084,1,758,3.302100722666514e-123,26070
Omicron BA.1,5,4539,22660,1.0,1.0,2.0,4.9922890504516415,2419.7899824006977,484.70550441821564,49.191360851278525,1,1946,3.302100722666514e-123,26070
Omicron BA.2+,1,20397,81457,2.0,1.0,3.0,3.9935774868853264,620.5014540692642,155.37483775060193,24.90986660079223,1,1615,0.0,82949
Omicron BA.2+,2,18217,58671,1.0,1.0,2.0,3.220672997749355,162.36926467305526,50.4147005257972,12.742419890784296,1,657,0.0,82949
Omicron BA.2+,3,15686,41190,1.0,1.0,2.0,2.6259084533979347,58.75716121411061,22.375936654637993,7.665321990243503,1,265,0.0,82949
Omicron BA.2+,4,15252,49066,1.0,1.0,2.0,3.2170207185942825,341.72316164578103,106.2234879839696,18.485755641730773,1,1110,0.0,82949
Omicron BA.2+,5,13397,32778,1.0,1.0,2.0,2.446667164290513,101.78884404634515,41.603061312126606,10.089045745081402,1,529,0.0,82949
