term,estimate,std_error,conf_low,conf_high,z,p_value,quintile,epoch,model,model_version
q_1,0.44799475601777455,0.10308830179672653,0.36603617535325494,0.5483045527555688,-7.789184009806094,6.744332626191661e-15,1,Pre-VOC,primary,2
q_2,0.6760189112159599,0.11136563150152769,0.5434558247041064,0.84091760093,-3.5157545723930235,0.000438506139098125,2,Pre-VOC,primary,2
q_3,0.7032470435358218,0.11629121000105619,0.559913137470771,0.8832734421554652,-3.0272884392507877,0.002467583756179153,3,Pre-VOC,primary,2
q_4,0.9294313536014017,0.11909910280817936,0.7359358828943436,1.1738014970270902,-0.6144658176269872,0.5389075544176454,4,Pre-VOC,primary,2
q_1,0.3907137407024484,0.06866639146107967,0.34151497089088956,0.44700010302761367,-13.686172931141702,1.228092920745692e-42,1,Alpha,primary,2
q_2,0.5415277677493023,0.0726947234475017,0.46961598362674817,0.6244513250567296,-8.437489070074808,3.2422742985921306e-17,2,Alpha,primary,2
q_3,0.7318611487148283,0.07657923192842837,0.6298604405295952,0.8503800310872527,-4.07635938231379,4.5746298445492304e-05,3,Alpha,primary,2
q_4,0.8135029592084566,0.07876728776103273,0.6971276368084046,0.9493054495310423,-2.620449688838142,0.008781388633991628,4,Alpha,primary,2
q_1,0.42804505497449946,0.02827920932234919,0.40496564116998046,0.45243978861707024,-30.005323368008423,8.363352720727539e-198,1,Delta,primary,2
q_2,0.5599617808032682,0.029282913395720478,0.5287285050870613,0.5930400819012708,-19.80290479677207,2.8101277716729996e-87,2,Delta,primary,2
q_3,0.7140455650593428,0.030676432110735816,0.6723789362349472,0.7582942318745646,-10.979389677822066,4.801567466465475e-28,3,Delta,primary,2
q_4,0.871565883993965,0.030646532863459988,0.8207555839458256,0.9255216839223127,-4.485460691598324,7.275655948065218e-06,4,Delta,primary,2
q_1,0.3733676993873388,0.04716192092451961,0.34040226712665367,0.4095255890112104,-20.889555309759444,6.663695615426937e-97,1,Omicron BA.1,primary,2
q_2,0.4728495239564323,0.04880088148319944,0.4297180244905675,0.5203102024191041,-15.347634090028516,3.673408291258279e-53,2,Omicron BA.1,primary,2
q_3,0.6129268193087316,0.05164982784521411,0.5539163846933822,0.67822381899007,-9.477470725845793,2.6052104088254374e-21,3,Omicron BA.1,primary,2
q_4,0.7563437229664637,0.05186079898083371,0.6832430376096487,0.8372655055104979,-5.384786806385388,7.253056537798248e-08,4,Omicron BA.1,primary,2
q_1,0.39685506951920985,0.027743019596894396,0.37585214347712453,0.4190316562946047,-33.31231216207997,2.5612342588347287e-243,1,Omicron BA.2+,primary,2
q_2,0.48007444070044014,0.028226443659423905,0.45423667086967695,0.5073819077015117,-25.997398438362005,5.299190623912394e-149,2,Omicron BA.2+,primary,2
q_3,0.6154392332143074,0.029288530170136447,0.5811051659209816,0.6518018974743014,-16.573691575748704,1.0798785184492073e-61,3,Omicron BA.2+,primary,2
q_4,0.7573550559964041,0.029743886482574873,0.7144658693069806,0.8028188685901614,-9.343873245667869,9.287303276617187e-21,4,Omicron BA.2+,primary,2
q_1,0.5066404446127839,0.08242014343468551,0.4310659337950863,0.59546468415539,-8.249848651886449,1.5859525253203749e-16,1,Pre-VOC,qc_adjusted,2
q_2,0.7443750166129268,0.0893508461048251,0.6247930794713701,0.8868442746297821,-3.3039453953047357,0.0009533439915018973,2,Pre-VOC,qc_adjusted,2
q_3,0.8385417251154305,0.09426680537668451,0.6970832179889276,1.0087062873040373,-1.8680057803677397,0.06176126522677114,3,Pre-VOC,qc_adjusted,2
q_4,1.1086647085668861,0.09643444934512865,0.9177303006576271,1.3393231487953743,1.0697041008290793,0.2847525198934754,4,Pre-VOC,qc_adjusted,2
q_1,0.34964087782436365,0.06048599353599573,0.31055350192320036,0.3936479308355171,-17.373422393990058,1.3116414803686217e-67,1,Alpha,qc_adjusted,2
q_2,0.5166952181077229,0.06410007247198576,0.45569300453494865,0.5858636094004646,-10.30111313366611,6.965062201884615e-25,2,Alpha,qc_adjusted,2
q_3,0.7060098781611216,0.06782411547591408,0.6181285252584822,0.8063856102622758,-5.132776851041603,2.8549832670447865e-07,3,Alpha,qc_adjusted,2
q_4,0.8109651689412435,0.06960524665224829,0.7075450683489426,0.9295019280829144,-3.0102640842634454,0.0026102063308405987,4,Alpha,qc_adjusted,2
q_1,0.4373565907456145,0.023805377933321464,0.4174192765822159,0.45824617644593096,-34.74031883963722,1.9407390469720607e-264,1,Delta,qc_adjusted,2
q_2,0.5949492712004489,0.024742312539068244,0.5667861669256252,0.6245117752642564,-20.987493983754128,8.532749414083263e-98,2,Delta,qc_adjusted,2
q_3,0.7592562246237538,0.02590282473783022,0.7216719687167984,0.7987978466933318,-10.63266186188278,2.1003070648470075e-26,3,Delta,qc_adjusted,2
q_4,0.8892423061245058,0.02571386234016371,0.8455366500633528,0.9352071006530367,-4.565067617347757,4.993333680912017e-06,4,Delta,qc_adjusted,2
q_1,0.39241316021575456,0.03891346711678665,0.36359705794969693,0.42351302064666185,-24.038978878163444,1.088567933772001e-127,1,Omicron BA.1,qc_adjusted,2
q_2,0.5188985700102824,0.04033000638408333,0.47946124656720956,0.5615797478659673,-16.266966143625016,1.6934280547900161e-59,2,Omicron BA.1,qc_adjusted,2
q_3,0.6659880994084661,0.042623839145352206,0.6126112827368649,0.724015637733879,-9.536528982555922,1.4769289929148174e-21,3,Omicron BA.1,qc_adjusted,2
q_4,0.8306348948776577,0.04273519279855083,0.7638954262852355,0.9032052095711742,-4.342204278597176,1.4106028268422003e-05,4,Omicron BA.1,qc_adjusted,2
q_1,0.34488545035752605,0.022007910014403657,0.3303251997294748,0.3600874954914924,-48.37092410577573,0.0,1,Omicron BA.2+,qc_adjusted,2
q_2,0.4550977170348617,0.02254771529375385,0.4354236428169858,0.4756607397577529,-34.91454056959361,4.473337857080085e-267,2,Omicron BA.2+,qc_adjusted,2
q_3,0.6018714687069289,0.02347210670778571,0.5748099311285121,0.6302070392768604,-21.63041306522978,9.294727218045337e-104,3,Omicron BA.2+,qc_adjusted,2
q_4,0.78000499131554,0.024039331488987264,0.7441064442699409,0.8176354218704261,-10.335352308374596,4.876169825198341e-25,4,Omicron BA.2+,qc_adjusted,2
