lineage,month,n_sequences,median_simd_rank,median_simd_rank_percentile
AY.4,2021-04-01,1,2998.0,0.4297591743119266
AY.4,2021-05-01,3044,2926.5,0.419509747706422
AY.4,2021-06-01,10419,3373.0,0.48351490825688076
AY.4,2021-07-01,6984,3135.5,0.44946961009174313
AY.4,2021-08-01,8802,3243.5,0.4649512614678899
AY.4,2021-09-01,16138,3047.5,0.43685493119266056
AY.4,2021-10-01,9918,3309.5,0.4744122706422018
AY.4,2021-11-01,11026,3750.0,0.5375573394495413
AY.4,2021-12-01,4152,3901.0,0.5592029816513762
AY.4,2022-01-01,83,2953.0,0.4233084862385321
AY.4,2022-02-01,4,3184.0,0.45642201834862384
AY.4,2022-03-01,2,5360.5,0.7684202981651376
BA.2,2021-10-01,1,1380.0,0.1978211009174312
BA.2,2021-12-01,2,3949.0,0.5660837155963303
BA.2,2022-01-01,327,4381.0,0.6280103211009175
BA.2,2022-02-01,5708,3390.0,0.4859518348623853
BA.2,2022-03-01,6015,3223.0,0.4620126146788991
BA.2,2022-04-01,18749,3464.0,0.49655963302752293
BA.2,2022-05-01,3189,3135.0,0.4493979357798165
BA.2,2022-06-01,902,3349.0,0.4800745412844037
BA.2,2022-07-01,51,3668.0,0.525802752293578
BA.2,2022-08-01,2,4824.5,0.6915854357798165
BA.2,2022-09-01,2,4143.5,0.5939650229357798
BA.2,2022-10-01,2,4888.5,0.700759747706422
BA.2,2023-01-01,1,2010.0,0.28813073394495414
BA.2,2023-02-01,1,1153.0,0.1652809633027523
B.1.1.7,2020-11-01,22,1995.5,0.2860521788990826
B.1.1.7,2020-12-01,299,3079.0,0.4413704128440367
B.1.1.7,2021-01-01,1996,2632.0,0.37729357798165136
B.1.1.7,2021-02-01,5278,2523.0,0.36166857798165136
B.1.1.7,2021-03-01,10853,2428.0,0.3480504587155963
B.1.1.7,2021-04-01,5105,2646.0,0.3793004587155963
B.1.1.7,2021-05-01,3985,2938.0,0.42115825688073394
B.1.1.7,2021-06-01,1393,3177.0,0.45541857798165136
B.1.1.7,2021-07-01,53,2278.0,0.3265481651376147
B.1.1.7,2021-08-01,3,1788.0,0.25630733944954126
BA.1.1,2021-11-01,9,5774.0,0.8276949541284404
BA.1.1,2021-12-01,1719,3577.0,0.5127580275229358
BA.1.1,2022-01-01,7687,3105.0,0.4450974770642202
BA.1.1,2022-02-01,11732,3428.5,0.49147075688073394
BA.1.1,2022-03-01,5339,3535.0,0.5067373853211009
BA.1.1,2022-04-01,174,3839.0,0.5503153669724771
BA.1.1,2022-05-01,6,6328.5,0.9071817660550459
BA.1.1,2022-07-01,1,5975.0,0.8565080275229358
BA.1.1,2023-01-01,1,6053.0,0.8676892201834863
BA.1,2021-02-01,1,2152.0,0.3084862385321101
BA.1,2021-11-01,86,4988.0,0.7150229357798165
BA.1,2021-12-01,5439,3579.0,0.5130447247706422
BA.1,2022-01-01,7764,3153.0,0.4519782110091743
BA.1,2022-02-01,5753,3189.0,0.4571387614678899
BA.1,2022-03-01,790,3047.0,0.43678325688073394
BA.1,2022-04-01,13,2660.0,0.38130733944954126
BA.1,2022-05-01,1,1140.0,0.16341743119266056
BA.1,2022-06-01,1,3577.0,0.5127580275229358
BA.2.23,2021-12-01,1,3937.0,0.5643635321100917
BA.2.23,2022-01-01,24,6537.5,0.937141628440367
BA.2.23,2022-02-01,1086,4196.0,0.6014908256880734
BA.2.23,2022-03-01,4219,3502.0,0.502006880733945
BA.2.23,2022-04-01,2825,3285.0,0.4709002293577982
BA.2.23,2022-05-01,563,3038.0,0.43549311926605505
BA.2.23,2022-06-01,162,3005.0,0.4307626146788991
BA.2.23,2022-07-01,24,2535.0,0.3633887614678899
BA.2.23,2022-08-01,1,1659.0,0.23781536697247707
AY.4.2.2,2021-07-01,6,1000.5,0.14342029816513763
AY.4.2.2,2021-08-01,206,2891.0,0.41442087155963303
AY.4.2.2,2021-09-01,927,2795.0,0.40065940366972475
AY.4.2.2,2021-10-01,1498,3393.0,0.48638188073394495
AY.4.2.2,2021-11-01,3329,3487.0,0.49985665137614677
AY.4.2.2,2021-12-01,2453,3341.0,0.478927752293578
AY.4.2.2,2022-01-01,106,2455.5,0.35199254587155965
AY.4.2.2,2022-02-01,9,5083.0,0.7286410550458715
AY.4.2.2,2022-03-01,1,6477.0,0.9284690366972477
AY.98,2021-04-01,3,3737.0,0.5356938073394495
AY.98,2021-05-01,440,3662.0,0.5249426605504587
AY.98,2021-06-01,2389,3462.0,0.4962729357798165
AY.98,2021-07-01,1486,3515.5,0.5039420871559633
AY.98,2021-08-01,556,2908.5,0.41692947247706424
AY.98,2021-09-01,1140,3334.5,0.4779959862385321
AY.98,2021-10-01,615,3651.0,0.5233658256880734
AY.98,2021-11-01,1074,3708.0,0.5315366972477065
AY.98,2021-12-01,601,3636.0,0.5212155963302753
AY.98,2022-01-01,14,1860.5,0.2667001146788991
BA.1.17.2,2021-12-01,1594,3845.0,0.5511754587155964
BA.1.17.2,2022-01-01,2940,3239.5,0.46437786697247707
BA.1.17.2,2022-02-01,2052,3251.0,0.466026376146789
BA.1.17.2,2022-03-01,254,3563.5,0.5108228211009175
BA.1.17.2,2022-04-01,7,4997.0,0.7163130733944955
BA.1.17.2,2022-06-01,1,6071.0,0.870269495412844
BA.1.15,2021-11-01,5,4306.0,0.6172591743119266
BA.1.15,2021-12-01,2099,3560.0,0.5103211009174312
BA.1.15,2022-01-01,2558,3028.5,0.43413130733944955
BA.1.15,2022-02-01,1891,3052.0,0.4375
BA.1.15,2022-03-01,230,3259.0,0.4671731651376147
BA.1.15,2022-04-01,2,3259.0,0.4671731651376147
AY.4.2,2021-05-01,5,2777.0,0.39807912844036697
AY.4.2,2021-06-01,155,3025.0,0.4336295871559633
AY.4.2,2021-07-01,176,2098.0,0.3007454128440367
AY.4.2,2021-08-01,372,3871.0,0.5549025229357798
AY.4.2,2021-09-01,1142,3727.5,0.534331995412844
AY.4.2,2021-10-01,996,3459.0,0.49584288990825687
AY.4.2,2021-11-01,1612,3651.5,0.5234375
AY.4.2,2021-12-01,1089,3611.0,0.517631880733945
AY.4.2,2022-01-01,49,2041.0,0.2925745412844037
AY.4.2,2022-02-01,2,3398.5,0.4871702981651376
BA.2.9,2021-12-01,1,2792.0,0.40022935779816515
BA.2.9,2022-01-01,15,2747.0,0.39377866972477066
BA.2.9,2022-02-01,872,3289.0,0.471473623853211
BA.2.9,2022-03-01,2593,3402.0,0.48767201834862384
BA.2.9,2022-04-01,1610,3604.0,0.5166284403669725
BA.2.9,2022-05-01,298,3619.5,0.5188503440366973
BA.2.9,2022-06-01,116,3352.5,0.4805762614678899
BA.2.9,2022-07-01,16,1914.0,0.27436926605504586
B.1.177,2020-08-01,281,3717.0,0.5328268348623854
B.1.177,2020-09-01,1271,3442.0,0.49340596330275227
