model,aic,qic,qicu,rho,scale,nobs,converged,term,coef,se,z,pvalue,ci_lo,ci_hi
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,Intercept,5.449923054155275,0.013816019254388346,394.4640604365277,0.0,5.422844154006962,5.477001954303588
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(dz_simd_quintile, Treatment(3))[T.1]",0.012558273485603604,0.011825209356615053,1.0619916406451166,0.28823948014785794,-0.010618710963007965,0.03573525793421517
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(dz_simd_quintile, Treatment(3))[T.2]",0.0033454387362633355,0.01194509309420846,0.28006803378412853,0.7794253090102576,-0.020066513520363365,0.026757390992890033
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(dz_simd_quintile, Treatment(3))[T.4]",-0.015023860238797227,0.011988372087580933,-1.2532026975005919,0.21013194851880157,-0.03852063776372112,0.008472917286126662
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(dz_simd_quintile, Treatment(3))[T.5]",0.013177537328071563,0.012104206963038499,1.0886741583575523,0.2762976013870113,-0.01054627238090284,0.036901347037045965
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(age_group, Treatment('40–59'))[T.00-09]",-0.1052664492835891,0.014023490572830831,-7.506437055516888,6.075833098264124e-14,-0.1327519857438745,-0.0777809128233037
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(age_group, Treatment('40–59'))[T.10-19]",0.04712114050739952,0.011435154713612021,4.120726101878456,3.776802130202967e-05,0.02470864911107652,0.06953363190372251
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(age_group, Treatment('40–59'))[T.20-39]",0.12923294576950528,0.01012776087047688,12.760268278670384,2.732583473985932e-37,0.10938289921933657,0.14908299231967398
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(age_group, Treatment('40–59'))[T.60-74]",-0.041271026163412466,0.013086480492260811,-3.153714720151049,0.0016120658834347615,-0.06692005661262965,-0.015621995714195279
model1,2348797.7998020602,2348791.7780189114,2348794.7986848825,0.528835376554211,1.0,2293464,True,"C(age_group, Treatment('40–59'))[T.elderly]",0.20465779506123224,0.01579627508501511,12.956079452894414,2.170610641574273e-38,0.17369766480471524,0.23561792531774925
