selection_reason,cluster_id,n_cases,centroid_x,centroid_y,mean_dist_centroid,median_dist_centroid,max_dist_centroid,sd_x,sd_y,n_datazones,min_collection_date,max_collection_date,median_collection_date,date_range_days,wn_mid_date,dominant_sex,dominant_sex_prop,sex_entropy,dominant_age_band,dominant_age_band_prop,age_entropy,n_age_bands_present,dominant_simd_quintile,dominant_simd_prop,simd_entropy,prop_simd_q1,prop_simd_q5,mean_simd,median_simd,n_simd_quintiles,dominant_health_board,dominant_hb_prop,hb_entropy,n_health_boards,is_multi_board,dominant_lineage,dominant_lineage_prop,lineage_entropy,n_lineages,is_mixed_lineage,size_type,spatial_type,age_type,deprivation_type,geographic_type,lineage_type,temporal_type,meta_cluster
largest,W077|BA.1|R0.3|C10,2841.0,286109.2301217227,687400.5501520184,61202.66295993879,42974.89776523118,504222.2165721855,44484.062498051455,65580.11364110513,2127.0,2021-12-25,2022-01-07,2021-12-30,13,2021-12-28,Female,0.5441745864132348,0.6892392992195905,20-24,0.12917986624428018,2.6471334910987463,16,1.0,0.23829637451601549,1.6041877107083555,0.23829637451601549,0.1805702217529039,2.8753959873284054,3.0,5.0,Greater Glasgow and Clyde,0.29179866244280184,2.1667093273403206,14,1,BA.1,1.0,-0.0,1,0,very_large,spatially_dispersed,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,
largest,W048|AY.4|R0.3|C1,2500.0,285610.18006926787,679371.2648863252,48961.65919380462,38742.85245462656,297135.1584116569,40877.09644259439,39505.16686558629,1406.0,2021-05-29,2021-06-11,2021-06-04,13,2021-06-08,Male,0.5064,0.6930652583228365,20-24,0.1888,2.4938138003664507,16,1.0,0.2384,1.6044919220269325,0.2384,0.1896,2.8848,3.0,5.0,Greater Glasgow and Clyde,0.3304,1.844050492853156,12,1,AY.4,1.0,-0.0,1,0,very_large,spatially_dispersed,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,
largest,W078|BA.1|R0.3|C1,2166.0,285789.04832496715,689733.4550353707,61921.38571664507,43996.935383709766,502085.16175914515,44438.52280170302,65528.77418766863,1701.0,2021-12-25,2022-01-04,2021-12-29,10,2022-01-04,Female,0.5406278855032317,0.6898422880199725,20-24,0.1329639889196676,2.6369904369439934,16,1.0,0.23268698060941828,1.6057563492625515,0.23268698060941828,0.19113573407202217,2.912742382271468,3.0,5.0,Greater Glasgow and Clyde,0.2876269621421976,2.1544916607676026,14,1,BA.1,1.0,-0.0,1,0,very_large,spatially_dispersed,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,
large_compact,W041|B.1.1.7|R0.3|C140,38.0,309894.83823384886,724855.6394103154,5682.90594365929,992.5962705512936,43545.72240760533,8092.036971302829,8289.520273693886,18.0,2021-04-17,2021-04-30,2021-04-23,13,2021-04-20,Female,0.5526315789473685,0.6875967375909238,30-34,0.2631578947368421,1.9096604215404311,9,1.0,0.3157894736842105,1.5701457514377792,0.3157894736842105,0.15789473684210525,2.6842105263157894,2.5,5.0,Tayside,0.9736842105263158,0.12169240267806193,2,1,B.1.1.7,1.0,-0.0,1,0,large,spatially_compact,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,long_lived,
large_compact,W042|B.1.1.7|R0.3|C34,38.0,309894.83823384886,724855.6394103154,5682.90594365929,992.5962705512936,43545.72240760533,8092.036971302829,8289.520273693886,18.0,2021-04-17,2021-04-30,2021-04-23,13,2021-04-27,Female,0.5526315789473685,0.6875967375909238,30-34,0.2631578947368421,1.9096604215404311,9,1.0,0.3157894736842105,1.5701457514377792,0.3157894736842105,0.15789473684210525,2.6842105263157894,2.5,5.0,Tayside,0.9736842105263158,0.12169240267806193,2,1,B.1.1.7,1.0,-0.0,1,0,large,spatially_compact,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,long_lived,
large_compact,W039|B.1.1.7|R0.3|C1,44.0,289852.09791193076,693831.8626493149,1498.3897276834423,1228.2719653950799,10463.818073948232,2568.5048478281647,997.3249351557788,10.0,2021-03-27,2021-04-04,2021-03-29,8,2021-04-06,Female,0.6363636363636364,0.6554817739013927,05-09,0.25,2.1624205603686755,12,1.0,0.45454545454545453,1.0292899679346355,0.45454545454545453,0.045454545454545456,1.75,2.0,5.0,Forth Valley,0.9772727272727273,0.10847133903591605,2,1,B.1.1.7,1.0,-0.0,1,0,large,spatially_compact,age_mixed,predominantly_deprived,multi_board,lineage_pure,intermediate_duration,
large_dispersed,W037|B.1.1.7|R0.3|C9,80.0,328375.9948425998,778778.9506262359,153640.9543444122,157027.09039563872,405529.08001838654,82408.18682888581,168988.97668187035,44.0,2021-03-13,2021-03-24,2021-03-17,11,2021-03-23,Female,0.575,0.6818546087307834,15-19,0.225,2.4144596464230044,13,5.0,0.3875,1.5132960896461658,0.1625,0.3875,3.45,4.0,5.0,Grampian,0.4125,1.2482710883108135,7,1,B.1.1.7,1.0,-0.0,1,0,large,spatially_dispersed,age_mixed,predominantly_affluent,multi_board,lineage_pure,long_lived,
large_dispersed,W085|BA.1.1.15|R0.3|C73,55.0,242888.1690907686,829665.0183529769,126789.6524623977,144440.36909489098,231919.7104123038,83037.71601767241,108739.57081656966,48.0,2022-02-28,2022-03-04,2022-03-02,4,2022-02-22,Female,0.6181818181818182,0.664947202884446,25-29,0.16363636363636364,2.368492539058842,13,3.0,0.509090909090909,1.2708478173930393,0.10909090909090909,0.01818181818181818,2.7454545454545456,3.0,5.0,Western Isles,0.34545454545454546,1.8147498776776105,10,1,BA.1.1.15,1.0,-0.0,1,0,large,spatially_dispersed,age_mixed,mixed_deprivation,multi_board,lineage_pure,short_lived,
large_dispersed,W084|BA.1.1.15|R0.3|C52,175.0,254575.06963150296,822644.9848254566,109145.95765423456,143130.9991455266,265970.9093408747,66217.51791406021,106869.93387425989,124.0,2022-02-17,2022-02-25,2022-02-22,8,2022-02-15,Female,0.5771428571428572,0.6811974647916526,25-29,0.1657142857142857,2.5614100928466406,16,3.0,0.37714285714285717,1.48073656825931,0.09142857142857143,0.10857142857142857,2.9771428571428573,3.0,5.0,Highland,0.4228571428571429,1.749810188522824,10,1,BA.1.1.15,1.0,-0.0,1,0,very_large,spatially_dispersed,age_mixed,mixed_deprivation,multi_board,lineage_pure,intermediate_duration,
age_homogeneous,W082|BA.1.1|R0.3|C1197,15.0,272766.8159954406,663587.9764776486,3678.8169935142037,3351.1839596428717,11128.972023791659,2635.975363781609,3694.9823080628335,9.0,2022-02-07,2022-02-11,2022-02-10,4,2022-02-01,Female,0.6666666666666666,0.6365141682948128,75+,1.0,-0.0,1,1.0,0.5333333333333333,1.194453006323357,0.5333333333333333,0.0,1.9333333333333333,1.0,4.0,Lanarkshire,1.0,-0.0,1,0,BA.1.1,1.0,-0.0,1,0,moderate_or_small,spatially_compact,age_homogeneous,predominantly_deprived,single_board,lineage_pure,short_lived,
