term,estimate,std_error,conf_low,conf_high,z,p_value,quintile,epoch,model
q_1,0.4696652526454866,0.0876154639070573,0.395557854641342,0.5576566030841602,-8.62558996718579,0.0,1,Pre-VOC,primary
q_2,0.7173753397850959,0.0950926660201107,0.5953925819004657,0.8643496640302688,-3.4929727265495005,0.0004776752929658,2,Pre-VOC,primary
q_3,0.872301102225922,0.1005511275719314,0.7162706342774618,1.0623208275348688,-1.3587178707687293,0.1742360069804389,3,Pre-VOC,primary
q_4,1.0245855987391996,0.1013861370886152,0.8399398975026311,1.2498223411758766,0.2395617154971416,0.8106700471751291,4,Pre-VOC,primary
q_1,0.3715241862068046,0.0629233239963153,0.3284177800016754,0.4202885146350002,-15.735680346621535,0.0,1,Alpha,primary
q_2,0.5432479200569704,0.0667157825010405,0.476660863255627,0.6191368442345901,-9.1461040503668,0.0,2,Alpha,primary
q_3,0.751199423755517,0.0704924600061405,0.6542623893821107,0.8624988741650725,-4.0583647976262585,4.941753044573893e-05,3,Alpha,primary
q_4,0.8467392833965424,0.0725202481328419,0.7345483062406457,0.9760657099820528,-2.294013710758107,0.0217897112032423,4,Alpha,primary
q_1,0.4360757893313678,0.0248879879587554,0.4153146795781149,0.4578747234124879,-33.34697940923462,0.0,1,Delta,primary
q_2,0.5839832160877679,0.0257541813859091,0.5552369584951669,0.6142177523565935,-20.885270165757664,0.0,2,Delta,primary
q_3,0.7482203605718112,0.026996116770732,0.7096600962234115,0.7888758448635769,-10.744424731973368,0.0,3,Delta,primary
q_4,0.8850290926180018,0.0268054640564096,0.8397319832314566,0.9327696341468846,-4.556338261587275,5.205308606148762e-06,4,Delta,primary
q_1,0.385423156690618,0.0408296172751685,0.3557816712231254,0.4175341838230845,-23.35102564295069,0.0,1,Omicron BA.1,primary
q_2,0.5090507244293441,0.0423602942214384,0.4684938692143249,0.5531185295479136,-15.939634621037566,0.0,2,Omicron BA.1,primary
q_3,0.6923853056085082,0.0449313307554227,0.6340189291000874,0.7561247612954294,-8.181655698310593,2.220446049250313e-16,3,Omicron BA.1,primary
q_4,0.8296214875473361,0.0449701586235705,0.7596286279296721,0.906063551706975,-4.1535481978629845,3.2735922139037754e-05,4,Omicron BA.1,primary
q_1,0.3757590486931309,0.024042886478267,0.3584628105678594,0.3938898499710268,-40.71088427085496,0.0,1,Omicron BA.2+,primary
q_2,0.474498407361905,0.0245545619800161,0.4522034569049852,0.4978925639577574,-30.36083551398432,0.0,2,Omicron BA.2+,primary
q_3,0.6172641715551829,0.0255077625688013,0.5871631918655114,0.6489082809757888,-18.91417134438723,0.0,3,Omicron BA.2+,primary
q_4,0.7718768811890075,0.0259289708194295,0.7336302888247974,0.8121173959004224,-9.986135732267234,0.0,4,Omicron BA.2+,primary
q_1,0.5066419386890806,0.08243620838039234,0.4310536323265528,0.5954851897505244,-8.248205170746136,1.6079114100252476e-16,1,Pre-VOC,qc_adjusted
q_2,0.7443756742669373,0.08937469517256467,0.6247644272327098,0.8868865132008715,-3.303053873210842,0.0009563801233253629,2,Pre-VOC,qc_adjusted
q_3,0.8385420043751978,0.094294215594507,0.6970460017027684,1.0087608154754322,-1.867459241269753,0.06183748357010723,3,Pre-VOC,qc_adjusted
q_4,1.1086633983546437,0.0964699596385166,0.9176653453726538,1.3394147845390514,1.0692980956814728,0.2849353684384557,4,Pre-VOC,qc_adjusted
q_1,0.3496564974940267,0.060523265923219716,0.3105446885184533,0.3936942757677382,-17.361985116376225,1.600911063708515e-67,1,Alpha,qc_adjusted
q_2,0.5167217600928947,0.06414120978139728,0.4556796710530592,0.585940945613107,-10.293705610389328,7.522445060057094e-25,2,Alpha,qc_adjusted
q_3,0.7060191897130157,0.06784003814227975,0.618117387327428,0.8064214119558138,-5.131377730530973,2.8762903923516133e-07,3,Alpha,qc_adjusted
q_4,0.8109757082022682,0.06962023404875059,0.7075334796381827,0.9295413124909574,-3.009429386052768,0.0026173891391205006,4,Alpha,qc_adjusted
q_1,0.437313414341184,0.02380518647042734,0.41737822504053007,0.4582007658501427,-34.744745506905836,1.6638730032696236e-264,1,Delta,qc_adjusted
q_2,0.5952994110777838,0.02472812063810125,0.5671355072404983,0.6248619321224727,-20.975746426540685,1.0923886335316993e-97,2,Delta,qc_adjusted
q_3,0.7593757083923509,0.02589785017953407,0.7217925752809187,0.7989157636762257,-10.628628155738905,2.193146912631936e-26,3,Delta,qc_adjusted
q_4,0.8895465619323153,0.02570472814218763,0.8458410946076453,0.9355103350856395,-4.553381246165086,5.279047704692079e-06,4,Delta,qc_adjusted
q_1,0.3924088722142322,0.03890802448425651,0.3635969634296582,0.4235038751148306,-24.042622410629875,9.971226837263614e-128,1,Omicron BA.1,qc_adjusted
q_2,0.5188945865786141,0.04032321018629063,0.4794639524468148,0.5615679564783507,-16.269898208163802,1.6142588303579955e-59,2,Omicron BA.1,qc_adjusted
q_3,0.6659848041926433,0.04261802811679136,0.6126152289063082,0.7240038093851346,-9.537945399905924,1.456899873411373e-21,3,Omicron BA.1,qc_adjusted
q_4,0.8306330397654655,0.042727536932537884,0.7639051827073321,0.903189639720447,-4.343034579282682,1.4052800480257695e-05,4,Omicron BA.1,qc_adjusted
q_1,0.3451173155765891,0.022003854757459782,0.33054990339789586,0.3603267170446529,-48.3492954452818,0.0,1,Omicron BA.2+,qc_adjusted
q_2,0.4554433463529356,0.022542886341092777,0.43575845467613267,0.47601748058182036,-34.88834282130496,1.1169908618005485e-266,2,Omicron BA.2+,qc_adjusted
q_3,0.6021805603529323,0.02347641268149175,0.5751002716870927,0.6305360041009873,-21.604576107292054,1.62674747182047e-103,3,Omicron BA.2+,qc_adjusted
q_4,0.7802199512136252,0.0240510280516993,0.7442944479366996,0.8178795018010987,-10.31886910534365,5.790110605728999e-25,4,Omicron BA.2+,qc_adjusted
