epoch,simd_quintile,n_clusters,n_sequences,median,q1,q3,mean,min,max,kw_pvalue,n_epoch
Pre-VOC,1,1544,9547,2.0,1.0,4.0,6.183290155440415,1,207,7.763626660329884e-22,5043
Pre-VOC,2,1012,4079,1.0,1.0,3.0,4.030632411067193,1,97,7.763626660329884e-22,5043
Pre-VOC,3,812,2179,1.0,1.0,2.0,2.6834975369458127,1,57,7.763626660329884e-22,5043
Pre-VOC,4,806,2512,1.0,1.0,2.0,3.1166253101736974,1,61,7.763626660329884e-22,5043
Pre-VOC,5,869,5009,1.0,1.0,3.0,5.76409666283084,1,256,7.763626660329884e-22,5043
Alpha,1,4063,34972,2.0,1.0,7.0,8.607432931331529,1,309,8.073494617472921e-84,11725
Alpha,2,2593,15166,2.0,1.0,5.0,5.848823756266873,1,181,8.073494617472921e-84,11725
Alpha,3,1911,8030,1.0,1.0,4.0,4.201988487702773,1,219,8.073494617472921e-84,11725
Alpha,4,1685,6258,1.0,1.0,3.0,3.713946587537092,1,160,8.073494617472921e-84,11725
Alpha,5,1473,7155,1.0,1.0,3.0,4.857433808553972,1,173,8.073494617472921e-84,11725
Delta,1,17418,96614,2.0,1.0,4.0,5.546790676311861,1,2500,4.0818880595701345e-252,67370
Delta,2,14357,59031,1.0,1.0,3.0,4.111652852267187,1,1166,4.0818880595701345e-252,67370
Delta,3,11778,37403,1.0,1.0,3.0,3.17566649685855,1,119,4.0818880595701345e-252,67370
Delta,4,12487,44598,1.0,1.0,3.0,3.571554416593257,1,696,4.0818880595701345e-252,67370
Delta,5,11330,47203,1.0,1.0,3.0,4.166195939982348,1,798,4.0818880595701345e-252,67370
Omicron BA.1,1,6760,61456,2.0,1.0,3.0,9.091124260355029,1,2841,3.302100722666514e-123,26070
Omicron BA.1,2,5597,25960,1.0,1.0,2.0,4.638199035197427,1,1272,3.302100722666514e-123,26070
Omicron BA.1,3,4483,12403,1.0,1.0,2.0,2.7666741021637296,1,381,3.302100722666514e-123,26070
Omicron BA.1,4,4691,18597,1.0,1.0,2.0,3.964399914730335,1,758,3.302100722666514e-123,26070
Omicron BA.1,5,4539,22660,1.0,1.0,2.0,4.9922890504516415,1,1946,3.302100722666514e-123,26070
Omicron BA.2+,1,20397,81457,2.0,1.0,3.0,3.9935774868853264,1,1615,0.0,82949
Omicron BA.2+,2,18217,58671,1.0,1.0,2.0,3.220672997749355,1,657,0.0,82949
Omicron BA.2+,3,15686,41190,1.0,1.0,2.0,2.6259084533979347,1,265,0.0,82949
Omicron BA.2+,4,15252,49066,1.0,1.0,2.0,3.2170207185942825,1,1110,0.0,82949
Omicron BA.2+,5,13397,32778,1.0,1.0,2.0,2.446667164290513,1,529,0.0,82949
