lineage,n_sequences,median_simd_rank_percentile,q1_percentile,q3_percentile,first_month,last_month,n_months_present
AY.4,70573,0.47749426605504586,0.22333715596330275,0.747993119266055,2021-04-01,2022-03-01,12
BA.2,34952,0.4843033256880734,0.2368119266055046,0.7478497706422018,2021-10-01,2023-02-01,14
B.1.1.7,28987,0.37170298165137616,0.16485091743119265,0.6819810779816513,2020-11-01,2021-08-01,10
BA.1.1,26668,0.4832282110091743,0.2409690366972477,0.7388546444954128,2021-11-01,2023-01-01,9
BA.1,19848,0.4690366972477064,0.22161697247706422,0.7333715596330275,2021-02-01,2022-06-01,9
BA.2.23,8905,0.49985665137614677,0.25071674311926606,0.7488532110091743,2021-12-01,2022-08-01,9
AY.4.2.2,8535,0.478927752293578,0.23286983944954126,0.744552752293578,2021-07-01,2022-03-01,9
AY.98,8318,0.5059489678899083,0.252723623853211,0.7628655389908257,2021-04-01,2022-01-01,10
BA.1.17.2,6848,0.4827264908256881,0.22882024082568808,0.7471688646788991,2021-12-01,2022-06-01,6
BA.1.15,6785,0.4611525229357798,0.2190366972477064,0.7459862385321101,2021-11-01,2022-04-01,6
AY.4.2,5598,0.5113245412844036,0.2675602064220184,0.7584217316513762,2021-05-01,2022-02-01,10
BA.2.9,5521,0.4929759174311927,0.23480504587155962,0.7510034403669725,2021-12-01,2022-07-01,8
B.1.177,5248,0.4508314220183486,0.20140481651376146,0.7332640481651376,2020-08-01,2021-03-01,8
BA.2.8,5054,0.4073967889908257,0.17961582568807338,0.7091814793577982,2022-01-01,2022-07-01,7
BA.2.3,4679,0.5106077981651376,0.2570240825688073,0.7651232798165137,2021-12-01,2022-07-01,8
BA.5.1,4246,0.4234518348623853,0.20498853211009174,0.6794008027522935,2022-05-01,2023-01-01,9
BA.5.2.1,3528,0.4347047018348624,0.20814220183486237,0.7001146788990825,2022-03-01,2023-01-01,10
AY.5,3251,0.5015768348623854,0.2406106651376147,0.768348623853211,2021-06-01,2022-02-01,9
BA.5.2,2613,0.41341743119266056,0.1978211009174312,0.6918004587155964,2022-04-01,2022-12-01,9
BA.1.15.1,2346,0.5534690366972477,0.2665209288990826,0.7741900802752293,2021-12-01,2022-04-01,5
