epoch,size_mid,mean,lo,hi,n
Pre-VOC,1.9182963376527415,0.03617617259669825,0.031494725549794385,0.04067807974253531,5593
Pre-VOC,5.227655887770801,0.027929444028920464,0.02257126236183828,0.03395506108202443,573
Pre-VOC,12.28319895226662,0.035209853943634226,0.027667345832692394,0.04422229616278329,272
Pre-VOC,27.318066692854348,0.040227151981150795,0.034424835810077305,0.0469213436340241,131
Pre-VOC,59.37046528495386,0.045005381459599585,0.0372543284728166,0.05431338433175673,57
Pre-VOC,127.70204446695071,0.020285746908912026,0.016543470143839428,0.024231852374025656,18
Alpha,2.4024644251992724,0.1968463886063072,0.19211092541458763,0.20164442345266353,20643
Alpha,8.865067679315441,0.20221230339359558,0.1963390555567508,0.20903572573895624,3111
Alpha,27.588370235358525,0.1943964362085161,0.18610351471863415,0.20256743271656424,916
Alpha,81.84737006189982,0.19398280038958363,0.18218618366561462,0.2059566207574956,204
Alpha,239.08667404496762,0.19461442365666282,0.15016387542688045,0.24704284628334236,13
Alpha,694.7566789495829,0.28259496116467503,0.2607569895229514,0.305084364836084,7
Delta,2.438378520705124,0.6207101041336294,0.6177577447734962,0.6231444589808648,100896
Delta,9.175674306073338,0.5946856405583926,0.5901788156124402,0.5996831189962104,10676
Delta,29.099242339715477,0.5960166474898962,0.5880504151632658,0.6037495722081068,1929
Delta,88.07689629404356,0.5719289444874864,0.5558938218193703,0.590118255655803,320
Delta,262.617713822321,0.5845415774358023,0.5385833325572726,0.6296359084941694,56
Delta,778.7707763350863,0.5469189883471731,0.4394182884394467,0.6567734920513444,15
Omicron BA.1,2.5289486721512087,0.7501078847698842,0.7464967768468572,0.7535292379203489,43565
Omicron BA.1,10.001152059542859,0.7566087806469968,0.7498129751501775,0.7637756882602049,2766
Omicron BA.1,33.27787149303418,0.7793800168806782,0.7702371570358301,0.7886808236011917,682
Omicron BA.1,105.80449354154183,0.7704449237997167,0.7564563907245989,0.7828616570902344,175
Omicron BA.1,331.78611955189206,0.7904379418388721,0.7753326042932203,0.8054325461523241,68
Omicron BA.1,1035.9095690092008,0.7849503190899104,0.7605571313473197,0.808600410462725,31
Omicron BA.2+,2.3888817509571867,0.867246012957362,0.8654269203658614,0.868953494331505,118697
Omicron BA.2+,8.74252184046162,0.862437274542911,0.8590435670533598,0.8658123807016044,8463
Omicron BA.2+,26.980280662146992,0.8572623137545393,0.8519144464307016,0.8623747151264433,1338
Omicron BA.2+,79.39886024281114,0.8384089505373175,0.8299232839499092,0.8469240945800903,235
Omicron BA.2+,230.0190096516021,0.8224401689300659,0.8081839169226572,0.8373586696037979,41
Omicron BA.2+,662.8126791751265,0.7909937482777559,0.7716842849779808,0.8107696021216872,17
