epoch,distance_km_mid,p_co_cluster,ci_low,ci_high,n_pairs
Pre-VOC,0.21300000000000002,0.0,0.0,0.7934567085261071,1
Pre-VOC,0.346,0.6923076923076923,0.5001138848576876,0.8349887906020732,26
Pre-VOC,0.5615,0.4634146341463415,0.32055999118185885,0.6125378465402564,41
Pre-VOC,0.9119999999999999,0.39215686274509803,0.3029736690082715,0.4891685510639875,102
Pre-VOC,1.4809999999999999,0.4630541871921182,0.3957823982872206,0.531698340597027,203
Pre-VOC,2.4045,0.35944700460829493,0.3157171414754907,0.4056432774522676,434
Pre-VOC,3.9045,0.27151515151515154,0.24227761347725574,0.3028706995417819,825
Pre-VOC,6.3405000000000005,0.20152091254752852,0.1824643344235734,0.22202724045977779,1578
Pre-VOC,10.2955,0.18527315914489312,0.17060368151287816,0.20089847103295713,2526
Pre-VOC,16.717,0.13305679642629228,0.12161377481796852,0.14539830125368533,3134
Pre-VOC,27.1445,0.12339791356184798,0.11269744701512564,0.1349598405449665,3355
Pre-VOC,44.077,0.09917170360420864,0.09074789422041239,0.1082843416789762,4467
Pre-VOC,71.5715,0.05346569139672588,0.04793977049128659,0.059588707147219824,5742
Pre-VOC,116.21600000000001,0.032471106219042374,0.02718380415542785,0.038745839400245376,3634
Pre-VOC,188.70850000000002,0.043707832208858904,0.03734305417713547,0.051099843377793545,3409
Pre-VOC,306.4205,0.06461538461538462,0.04264713957207565,0.09675614760326955,325
Pre-VOC,497.5585,0.01694915254237288,0.002998156692981528,0.08995937462385317,59
Alpha,0.346,0.06666666666666667,0.011866588606194856,0.2981707755242399,15
Alpha,0.5615,0.08333333333333333,0.0287480892712918,0.21827010276918848,36
Alpha,0.9119999999999999,0.1282051282051282,0.0711524611999346,0.22016149160646212,78
Alpha,1.4809999999999999,0.1590909090909091,0.11242190844886835,0.22032424149641683,176
Alpha,2.4045,0.05128205128205128,0.03268108228210621,0.07959887587387099,351
Alpha,3.9045,0.059474412171507604,0.0444514293240072,0.0791540440005796,723
Alpha,6.3405000000000005,0.054959785522788206,0.0444968758620553,0.0677085876041299,1492
Alpha,10.2955,0.04831288343558282,0.040726864750898324,0.057227620697223806,2608
Alpha,16.717,0.03226719501839796,0.026929311719424948,0.03862115002587911,3533
Alpha,27.1445,0.023713741266144398,0.019745894933931835,0.028455762595696404,4723
