pango_lineage,count
AY.4,63300
BA.2,30692
B.1.1.7,27129
BA.1,17557
BA.1.1,15614
BA.2.23,8035
AY.4.2.2,7769
AY.98,7663
BA.1.17.2,6058
BA.1.15,5987
BA.2.9,4996
AY.4.2,4896
B.1.177,4605
BA.2.8,4595
BA.2.3,4263
AY.5,2891
BA.5.1,2870
BA.5.2.1,2328
BA.1.15.1,2082
BA.2.10,2074
AY.43,1872
BA.5.2,1677
BA.1.1.14,1621
BA.2.37,1550
AY.46.5,1519
AY.6,1512
BA.1.1.15,1401
AY.120,1389
BA.2.12.1,1179
BA.2.1,969
B.1.617.2,922
BA.4.1,883
BA.2.18,878
BA.1.1.1,857
AY.3,802
B.1.177.8,777
BA.4,768
BE.1,745
AY.4.1,721
AY.98.1,710
BA.2.22,676
BA.5.2.3,654
BQ.1.1,642
BD.1,559
B.1.177.5,558
AY.4.2.1,556
BF.1,553
AY.9,519
AD.2,473
BA.1.16,447
BA.1.17,424
BE.1.1,411
BA.1.1.13,400
AY.7.1,376
BA.2.10.1,374
BA.1.7,371
BA.5.1.22,361
XE,344
BA.2.50,335
AY.122,313
B.1,306
BA.5.8,276
B.1.177.53,266
BA.5.5,257
BA.5,247
B.1.1.37,245
BA.4.6,228
BA.5.1.24,215
BF.7,209
AY.4.10,208
B.1.258,202
AY.4.3,192
BF.5,188
BA.1.18,187
BQ.1,184
BA.5.1.23,177
B.1.1.311,175
AY.9.2,162
AY.34.1,160
BA.2.48,155
BA.2.87,152
BF.4,152
BA.5.1.5,151
BA.2.46,143
B.1.1.44,141
AY.36,140
BA.2.9.7,137
BA.5.2.20,134
CH.1.1,130
BA.5.1.30,128
BA.5.6,126
BQ.1.2,119
BA.1.1.12,116
BQ.1.8,116
AY.127,115
BA.2.36,113
BA.5.3.1,109
AY.4.8,105
BF.6,104
EF.2,101
BA.1.8,99
BA.2.38,98
AY.90,96
BF.10,95
BF.28,93
B.1.160,91
AY.111,91
B.1.1,90
BA.1.14,90
BA.5.1.10,90
BF.11,90
B.1.36,89
BQ.1.1.15,87
BA.5.2.6,81
BA.5.1.2,80
XBB.1.5,80
BN.1.5,79
BA.2.52,78
XP,74
BA.2.39,73
BF.7.4,72
BA.2.75.2,72
BA.2.56,70
BA.2.2,69
BA.5.2.21,67
BA.2.9.3,66
AY.34,65
BA.2.41,65
BA.5.3.3,65
XBB.1,64
BF.14,62
BA.4.4,61
BA.4.6.1,60
BA.5.2.35,60
XBB.1.5.13,60
BA.2.3.15,58
B.1.177.4,57
AY.126,56
BN.1.4.1,56
BG.2,55
BA.5.9,55
AY.121,54
AY.46.6,54
BA.5.1.3,53
BA.5.2.9,53
BA.1.13,52
B.1.1.406,49
BA.5.1.12,49
BA.2.13,48
BA.5.3.2,48
BQ.1.1.69,47
BQ.1.1.24,47
B.1.177.57,46
BA.1.1.18,46
